Beginning of query,End of query,Rows of data,Number of searches,Number of errors,Porportion of errors (%),Duration,Average duration per row,Average duration per search
2019-08-21 14:11:21.897241,2019-08-21 14:13:30.283751,30,10,0,0.0,0:02:08.386510,0:00:04.279550,0:00:12.838651
2019-08-22 14:42:38.901371,2019-08-22 14:44:42.106655,18,8,3,37.5,0:02:03.205284,0:00:06.844738,0:00:15.400660
2019-08-22 15:58:08.321964,2019-08-22 15:58:41.375280,8,2,0,0.0,0:00:33.053316,0:00:04.131664,0:00:16.526658
